SFO,LAX
JAX,IAH
OGG,HNL
SLC,DEN
PNS,MEM
CHS,DTW
ABE,DTW
LAS,MIA
EWR,ORD
STL,MIA
SMF,DFW
LGA,MIA
FAI,ANC
JFK,PBI
MCO,JFK
TPA,JFK
CLT,ATL
LAX,SLC
SMF,SLC
PDX,ATL
MDW,DEN
CAE,DFW
HOU,DFW
CLE,ORD
EUG,SLC
MFR,SLC
SBA,SFO
PSC,DEN
JFK,SFO
SEA,ORD
BDL,DCA
MHT,CLT
RDU,CLT
BUF,BWI
HOU,MSY
LAX,PHX
MDW,BNA
OAK,BUR
OAK,PDX
ONT,PHX
PDX,OAK
SMF,SAN
TYS,IAH
COS,IAH
TUS,IAH
PNS,IAH
LIH,HNL
MEM,CLT
MRY,PHX
LEX,DTW
SGF,ORD
MEM,IAH
ORD,MDT
DLH,DTW
COS,LAX
RDM,PDX
ELP,DEN
BDL,EWR
BDL,DTW
RIC,LGA
MOB,MEM
PFN,MEM
SLC,DFW
PHL,DFW
ATL,DFW
DFW,LAX
FLL,LGA
JFK,FLL
MSY,JFK
PHX,CLE
SEA,ATL
BDL,ATL
EVV,ATL
OAJ,ATL
CHA,ATL
ILM,ATL
MKE,DEN
PHL,DTW
ATL,MSP
VPS,MEM
JAX,CVG
AVP,CVG
PIT,JFK
BOS,BWI
FCA,SLC
SFO,SLC
RDM,SLC
MFR,PDX
MRY,SFO
PSP,DEN
MSP,DEN
ALB,DCA
PVD,DCA
TPA,PHL
ABQ,DEN
BDL,BWI
BNA,RDU
BOI,SLC
BUF,MDW
DAL,AUS
DAL,MCI
LAS,SMF
LAX,SMF
MCI,DEN
OAK,MCI
ONT,OAK
PHL,RDU
PHX,HOU
PHX,STL
RDU,MDW
SDF,BWI
SLC,PHX
SMF,ONT
SMF,SNA
GSP,EWR
EWR,STL
CMH,EWR
AUS,PHX
FAT,PHX
SYR,ORD
MLB,ATL
SCE,DTW
CLT,DTW
LAX,IAD
JAX,JFK
PDX,SFO
BNA,MIA
JFK,RSW
PBI,BOS
SAN,IAH
LAS,EWR
EWR,CLE
SJC,IAH
FLL,IAH
ELP,IAH
PBI,IAH
BUF,ATL
SAN,SLC
GEG,SLC
ALB,ATL
SWF,ATL
MYR,ATL
SAN,LAX
LIT,ORD
CMH,ORD
BNA,MEM
LGA,MSP
CHS,LGA
SAV,LGA
DEN,SLC
SBA,LAX
SGU,SLC
PDX,ORD
BUF,CLT
DFW,PHL
JAX,PHL
JFK,PHX
SJC,PHX
SYR,DCA
ALB,MDW
BHM,MCO
BNA,MDW
BNA,TPA
DAL,HOU
ELP,ABQ
FLL,MCO
FLL,TPA
GEG,BOI
HOU,DAL
IND,MCI
ISP,MCO
JAN,HOU
LAS,LAX
LAS,SJC
MDW,ISP
MSY,HOU
OAK,SAN
OMA,MDW
ONT,LAS
SEA,BOI
SEA,MDW
SMF,PDX
IND,EWR
BRO,IAH
DAY,IAH
BGR,EWR
CRW,IAH
ABQ,IAH
PHL,SFO
BWI,SFO
BWI,LAS
ORF,IAD
DEN,MSP
SAN,SFO
SAN,DEN
RIC,EWR
MCO,MEM
JAX,MEM
JAN,MEM
BTV,DTW
OKC,MEM
XNA,MEM
EVV,MEM
MCI,DTW
LAX,MIA
DFW,STL
DFW,TPA
MSY,DFW
STL,DCA
FLL,DFW
SAN,DFW
PDX,SJC
ONT,SEA
LAX,SEA
MCO,BOS
RSW,JFK
LGA,CLE
TUL,IAH
ABQ,ATL
MDT,ATL
LYH,ATL
SAN,SJC
CVG,ORD
RDU,DCA
MSY,MEM
BWI,DTW
LEX,DCA
GSO,ATL
IAH,CVG
BWI,BOS
ACV,SLC
MSO,SLC
OXR,LAX
BHM,ORD
COS,SFO
SJC,DEN
ATL,PHL
MCO,PHL
MIA,CLT
BHM,MSY
BWI,FLL
CRP,HOU
DAL,SAT
ELP,HOU
ISP,MDW
LBB,AUS
LIT,STL
MCO,ISP
MHT,BWI
PIT,MDW
RNO,LAS
STL,BWI
STL,MDW
TPA,FLL
CVG,IAH
BTR,IAH
SDF,EWR
KOA,HNL
BGM,DTW
FAR,DEN
PWM,BWI
SYR,DTW
MCO,SFO
SMF,ORD
SBN,DTW
CLE,EWR
ORD,BWI
GPT,MEM
HSV,MEM
ITH,DTW
SJC,ATL
SYR,ATL
ATL,DEN
SAT,DEN
STL,DEN
CAK,LGA
LEX,DFW
ORD,HPN
MSP,MEM
DTW,LGA
MDW,MSP
STL,JFK
CPR,SLC
GTF,SLC
PSP,SLC
LWS,SLC
XNA,DEN
PIH,SLC
LAX,JFK
MCO,ORD
FLL,CLT
BWI,BNA
BWI,RDU
CMH,BWI
GEG,SEA
HOU,PHX
IND,BWI
MCI,LAS
MSY,BHM
ORF,BWI
PHL,MCO
PHX,LAS
RNO,SJC
TUL,HOU
GSO,IAH
STL,EWR
BFL,PHX
SBP,PHX
AUS,EWR
TPA,MEM
BHM,LGA
EUG,PDX
SAN,ORD
SJC,LAX
TUS,PHX
RDD,SFO
COS,DEN
PVD,ORD
OKC,DEN
MSN,MEM
SHV,MEM
ATW,DTW
MGM,MEM
DCA,CVG
ORD,BOS
LAX,AUS
TPA,DFW
ICT,DFW
ONT,DFW
SAN,SEA
SJC,SEA
SEA,SNA
CLT,JFK
FLL,BOS
RSW,BOS
MIA,EWR
SFO,EWR
SAT,EWR
OKC,IAH
IAH,LGA
RSW,IAH
CVG,ATL
PDX,JFK
SAN,ATL
RNO,SLC
LAS,SLC
SMF,ATL
BOS,SLC
CAE,CVG
BTR,ATL
AUS,DEN
DTW,DEN
IAH,DEN
BTV,BWI
SJC,SNA
MSN,DFW
TYR,DFW
DFW,TUL
PNS,DFW
XNA,ORD
CLE,LGA
XNA,LGA
OMA,MEM
SAN,MSP
DCA,DTW
DTW,MEM
MBS,DTW
LGA,MEM
BHM,MEM
RDU,CVG
GSO,CVG
LGA,RDU
BZN,SLC
COD,SLC
FAT,SLC
BIL,SLC
LAX,SAN
TWF,SLC
GCC,RKS
EWR,SFO
MDT,ORD
FSD,DEN
IAH,ORD
JFK,LAX
BOS,PHL
DCA,BOS
EWR,PHX
PBI,CLT
ABQ,HOU
AMA,DAL
AUS,DAL
AUS,HOU
BDL,MDW
BNA,MCI
DEN,BNA
DEN,OMA
ELP,DAL
FLL,JAX
IAD,MDW
JAX,FLL
LAS,SEA
MAF,AUS
MCO,MHT
MDW,MCO
MDW,STL
MHT,MCO
ONT,SJC
PHL,LAS
PVD,BWI
RDU,DEN
SAN,BWI
SAN,LAS
SDF,STL
SEA,SJC
SJC,LAS
SJC,MDW
SJC,SAN
SLC,OAK
SLC,SEA
STL,TPA
TPA,MSY
TUS,MDW
DAL,IAH
ABE,CLE
EWR,SDF
IAH,DAL
ELP,PHX
MRY,LAX
TUL,MEM
ERI,DTW
FSM,MEM
TUL,ORD
MIA,LGA
SJC,DFW
DFW,DCA
MIA,ORD
ORD,EWR
MFE,DFW
ORD,RSW
OAK,LGB
IAH,EWR
IND,IAH
MCO,IAH
SEA,JFK
TPA,LGA
DSM,DFW
MLI,DFW
FWA,DFW
BDL,RDU
LIT,MEM
PDX,MSP
DTW,EWR
PIT,CVG
SMF,ACV
CLT,PHL
LGA,CLT
PIT,FLL
SAN,PHX
ALB,BWI
AUS,BNA
BOI,PDX
CMH,PHL
DAL,AMA
DEN,OAK
HRL,HOU
ISP,BWI
LAS,BUR
MCO,JAN
PHL,PIT
PHX,MDW
PHX,SAN
PHX,SLC
PIT,PHL
RDU,PHL
SAT,DAL
TUL,DEN
MHT,EWR
BHM,EWR
MSP,EWR
PSP,PHX
FAT,LAS
BIS,DEN
