Date,Pharma,FMCG,Power,Steel
17-Aug-95,73,61.2,10.71,140.82
21-Aug-95,73.25,60.8,10.81,141.41
22-Aug-95,71.25,59.8,10.81,142
24-Aug-95,71.25,60,10.62,140.23
25-Aug-95,70.75,59.2,10.62,138.46
28-Aug-95,71,59.2,10.62,136.11
31-Aug-95,70,59,10.42,137.87
1-Sep-95,70.5,58.8,10.23,139.35
4-Sep-95,70.5,58.8,9.94,138.46
5-Sep-95,70.25,59.2,9.84,138.17
6-Sep-95,70.5,60.2,9.84,139.94
7-Sep-95,71.5,59.8,9.94,138.46
8-Sep-95,71.25,59.2,9.94,140.23
11-Sep-95,71.75,59,9.94,139.94
12-Sep-95,71.25,58.6,9.94,137.87
13-Sep-95,71.25,58.6,9.94,137.87
14-Sep-95,71.5,58.2,9.94,137.87
15-Sep-95,71.5,58.4,10.13,138.17
18-Sep-95,71.5,58.2,10.04,137.87
19-Sep-95,71.25,58.2,10.13,138.17
20-Sep-95,71,59.2,10.13,139.05
21-Sep-95,71.5,60.4,10.23,139.64
22-Sep-95,72.75,60.6,10.23,141.11
25-Sep-95,75.75,61.4,10.33,144.06
26-Sep-95,75.25,61.8,10.71,145.53
27-Sep-95,74.25,61.4,10.42,142
28-Sep-95,73.5,60.8,10.42,142
29-Sep-95,72.75,63,10.62,143.18
4-Oct-95,73.5,62.2,11.29,147.6
5-Oct-95,72.75,62.2,11.48,149.66
6-Oct-95,73,63,11.77,151.13
9-Oct-95,73.5,63.2,11.58,149.07
10-Oct-95,73.75,63.4,11.39,147.6
11-Oct-95,72.75,63.4,11.19,149.36
12-Oct-95,73,63.2,11.39,148.48
13-Oct-95,73.25,64,11.58,150.25
16-Oct-95,73.5,63.6,11.68,151.43
17-Oct-95,73.75,62.8,11.58,152.9
18-Oct-95,74.25,63.4,11.39,152.31
19-Oct-95,74.5,63.4,11.19,150.25
20-Oct-95,74,63.6,11.1,148.48
23-Oct-95,73.5,63.6,11.39,144.65
26-Oct-95,72.5,62.8,11.29,141.41
27-Oct-95,72,63.8,11.39,144.65
30-Oct-95,72.5,63.6,11.48,142.29
31-Oct-95,72.5,63.6,11.58,143.18
1-Nov-95,72.5,63.8,11.58,147.89
2-Nov-95,72.5,63.8,11.68,144.36
3-Nov-95,71.5,63.8,11.48,145.83
6-Nov-95,71,63.6,11.39,142.88
8-Nov-95,68.5,61.4,11.48,140.82
9-Nov-95,65.75,60.6,11.48,139.05
10-Nov-95,65.25,59.8,11.39,139.35
13-Nov-95,64.25,59.6,10.9,134.63
14-Nov-95,62,58.6,10.81,133.6
15-Nov-95,55,59.2,10.81,135.08
16-Nov-95,56.75,58.8,10.62,132.04
17-Nov-95,54.5,58.4,10.42,130.6
20-Nov-95,54,58.4,10.23,133.75
21-Nov-95,54,58.4,10.04,132.87
22-Nov-95,51.25,56,9.84,130.8
23-Nov-95,48.75,56.8,9.36,124.35
24-Nov-95,50,57.6,9.79,127.56
27-Nov-95,51.25,57.6,9.94,125.27
28-Nov-95,50.75,57.4,9.65,121.23
29-Nov-95,50.25,57.6,9.55,116.96
30-Nov-95,52.75,58,9.7,121.7
1-Dec-95,53,59,9.84,120.49
4-Dec-95,54,59.2,10.13,119.55
5-Dec-95,54.5,59.6,10.42,115.54
6-Dec-95,55,61,10.81,119.49
7-Dec-95,58,61.4,11.1,122.76
8-Dec-95,58,61,11.1,118.84
11-Dec-95,57.5,61,11.1,117.55
12-Dec-95,57.5,61.2,11,117.1
13-Dec-95,56.5,61.2,11,121.23
14-Dec-95,56.5,61,11.19,118.43
15-Dec-95,56.5,61,11.1,117.99
18-Dec-95,56,61.8,11.19,117.69
19-Dec-95,56.5,61.4,11.48,114.9
20-Dec-95,57,61.6,11.87,114.75
21-Dec-95,56.5,62,11.97,117.55
22-Dec-95,57,62.4,11.77,115.78
1-Jan-96,56.5,62.2,11.87,117.55
2-Jan-96,56.5,62,11.58,116.37
3-Jan-96,55,62.2,11.48,115.04
4-Jan-96,53.5,62.2,11.39,111.8
5-Jan-96,52,62.2,11.48,109.59
8-Jan-96,50.5,62.2,11.48,105.17
9-Jan-96,50,62.2,11.58,105.62
10-Jan-96,51,62.6,11.68,104.73
11-Jan-96,52,62.4,12.06,107.09
12-Jan-96,52,62.4,12.16,105.03
15-Jan-96,52,62.8,12.26,106.06
16-Jan-96,51.5,62.6,11.97,105.76
17-Jan-96,52,62.6,11.87,101.49
18-Jan-96,52.5,63,11.97,98.69
19-Jan-96,52,63.2,11.97,97.81
22-Jan-96,52,63.4,11.87,98.69
23-Jan-96,52.5,63.6,12.16,96.34
24-Jan-96,52,62.6,12.06,94.86
25-Jan-96,53.5,63.4,12.06,92.8
29-Jan-96,53.5,64,12.06,96.92
30-Jan-96,53,64.2,12.06,97.51
31-Jan-96,53.5,64.4,12.26,98.1
1-Feb-96,54,65,12.55,100.75
2-Feb-96,55.5,67.2,13.12,108.12
5-Feb-96,58.5,67,12.93,110.18
6-Feb-96,57.5,65.5,13.32,104.14
7-Feb-96,58,68,13.22,106.5
8-Feb-96,60,68.5,14.09,123.44
9-Feb-96,62.5,68,13.9,127.86
12-Feb-96,65,69.5,14.48,122.7
13-Feb-96,66.25,71,14.48,125.21
14-Feb-96,66.88,71,15.25,125.35
15-Feb-96,67.5,71,15.15,123
16-Feb-96,68.13,70.5,14.86,122.26
19-Feb-96,68.13,70.5,14.76,121.67
20-Feb-96,67.5,71,14.86,119.31
22-Feb-96,67.5,72,14.86,122.26
23-Feb-96,67.5,71.5,15.05,121.08
26-Feb-96,68.13,71.5,15.05,122.85
27-Feb-96,66.88,71.5,14.76,122.55
28-Feb-96,65,71.5,14.48,121.52
29-Feb-96,66.25,71,14.09,114.45
1-Mar-96,65,71,14.48,116.52
4-Mar-96,66.25,70.5,14.48,115.48
6-Mar-96,66.88,70.5,14.28,116.81
7-Mar-96,66.88,67.5,14.09,115.34
8-Mar-96,66.88,67.5,13.99,113.86
11-Mar-96,65.63,67,13.99,112.24
12-Mar-96,65.63,68,13.99,111.95
13-Mar-96,65.63,68.5,14.19,115.48
14-Mar-96,66.25,69.5,14.19,115.19
15-Mar-96,65.63,69.5,14.09,111.65
18-Mar-96,65.5,71,13.99,108.86
19-Mar-96,65.63,71,14.19,106.06
