Date,Pharma,FMCG,Power,Steel
8-Jul-97,75.19,136.65,13.24,125.5
9-Jul-97,78.69,137.9,13.53,130.66
10-Jul-97,76.5,139.3,13.7,127.27
11-Jul-97,73.44,138.63,13.22,125.94
14-Jul-97,72.31,135.65,12.91,121.23
15-Jul-97,73.88,134.08,12.69,124.17
16-Jul-97,73.13,134.43,12.71,121.67
17-Jul-97,73.13,134.22,13.12,123.44
18-Jul-97,72.06,132.4,13.51,117.84
21-Jul-97,74.25,131.55,14.52,119.9
22-Jul-97,78.94,133.58,14.26,123.44
23-Jul-97,80.25,136.43,14.14,127.12
24-Jul-97,79,138.45,13.7,124.91
25-Jul-97,78.75,137.97,13.39,125.21
28-Jul-97,78.75,137.6,13.65,125.35
29-Jul-97,78.38,139.3,13.53,125.8
30-Jul-97,78.06,142.45,13.61,129.48
31-Jul-97,78,141.88,13.61,128.74
1-Aug-97,78.06,144.47,13.37,128.3
4-Aug-97,78.5,151.55,13.68,130.51
5-Aug-97,78.44,153.73,13.87,131.54
6-Aug-97,79.56,155.95,13.78,129.63
7-Aug-97,79.5,155.4,13.63,127.42
8-Aug-97,76.5,153.28,13.22,124.03
11-Aug-97,79.69,154.23,13.61,127.12
12-Aug-97,79.31,153.63,13.39,123.29
13-Aug-97,77.81,151.8,13.34,121.38
14-Aug-97,74.06,146.28,13,119.76
19-Aug-97,76.75,135.68,12.88,120.05
20-Aug-97,76.94,144.18,12.98,120.93
21-Aug-97,76.19,140.58,12.91,115.93
22-Aug-97,75.19,137.68,12.45,112.39
26-Aug-97,75.06,139.2,12.93,113.57
27-Aug-97,74.31,140.38,12.98,112.69
28-Aug-97,71.06,136.28,12.76,109.3
29-Aug-97,70.44,135.05,11.87,106.5
1-Sep-97,68.75,137,11.53,110.48
2-Sep-97,69.88,138.9,11.82,109.3
3-Sep-97,69.19,140,11.82,108.41
4-Sep-97,69.81,140.03,11.94,107.82
5-Sep-97,71.56,140.53,11.92,107.97
8-Sep-97,75.75,139.78,12.06,109.44
9-Sep-97,73.13,138.4,11.77,109.59
10-Sep-97,72.75,143.83,11.89,109.15
11-Sep-97,69.56,141.1,11.7,108.12
12-Sep-97,69.44,141.38,11.58,107.24
15-Sep-97,70.44,142.15,11.63,108.56
16-Sep-97,70.88,142.38,11.58,107.82
17-Sep-97,69.75,138.97,11.29,107.09
18-Sep-97,69.06,133.5,11.1,105.62
19-Sep-97,66.31,130.7,10.86,102.52
22-Sep-97,66.31,128.28,10.86,101.34
23-Sep-97,67.63,131.78,11,102.08
24-Sep-97,69.75,131.83,11.1,101.79
25-Sep-97,70.81,132.95,11.77,102.52
26-Sep-97,71.13,134.6,12.16,102.67
29-Sep-97,71.13,132.93,12.26,102.82
30-Sep-97,71.06,133.65,12.14,101.79
1-Oct-97,71.13,134.5,11.77,100.9
3-Oct-97,72.5,133.22,11.7,98.1
6-Oct-97,72.94,134.63,11.6,98.84
7-Oct-97,75.69,135.85,11.68,100.61
8-Oct-97,76.06,135.7,11.94,100.75
9-Oct-97,77.25,135.18,11.97,101.49
10-Oct-97,78.56,135.15,12.16,102.96
13-Oct-97,77.56,135.93,12.11,103.55
14-Oct-97,76.56,136.9,11.99,104.88
15-Oct-97,77.06,137.3,12.01,108.86
16-Oct-97,80.5,140.13,12.16,109.3
17-Oct-97,85.5,142.83,12.01,109
20-Oct-97,86.19,144.6,12.04,108.86
21-Oct-97,84.25,144.08,11.72,106.2
22-Oct-97,84.63,144.03,11.48,103.41
23-Oct-97,82.88,140.15,11.27,101.64
24-Oct-97,82.31,137.45,11.1,99.28
27-Oct-97,84.06,135.7,11.17,100.02
3-Nov-97,82.5,130.53,11,94.71
4-Nov-97,82.5,131.8,10.95,94.13
5-Nov-97,84.06,133.2,10.93,95.45
6-Nov-97,84.06,131.83,10.86,95.75
7-Nov-97,83.88,133.55,10.49,95.75
10-Nov-97,82.06,133.93,10.42,95.01
11-Nov-97,82.63,133.97,10.3,94.57
12-Nov-97,81.31,130.3,9.99,92.8
13-Nov-97,78.88,128.93,9.58,90.88
14-Nov-97,78.69,129.22,9.72,90.3
17-Nov-97,77.81,130.08,9.79,91.18
18-Nov-97,77.13,128.05,9.65,89.71
19-Nov-97,75.38,126.8,9.67,88.23
20-Nov-97,76.13,129.6,9.72,87.2
21-Nov-97,77.44,133.13,9.65,81.31
24-Nov-97,74.19,129.53,9.51,74.39
25-Nov-97,75.19,133.7,9.63,77.19
26-Nov-97,76.19,137.03,9.41,77.63
27-Nov-97,78.88,139.53,9.67,79.25
28-Nov-97,76.94,139.1,9.63,76.6
1-Dec-97,76.44,137.93,9.65,76.3
2-Dec-97,76.5,138.75,9.63,75.86
3-Dec-97,76.81,138.53,9.65,75.86
4-Dec-97,75.94,137.47,9.65,74.98
5-Dec-97,74.25,134.68,9.77,72.62
8-Dec-97,74,133.22,10.06,72.18
9-Dec-97,73.38,130.3,9.92,70.85
10-Dec-97,72,127.75,9.79,69.82
11-Dec-97,71.63,123.5,9.84,71.15
12-Dec-97,71.63,122.83,9.72,72.47
15-Dec-97,73.81,125.68,9.87,74.98
16-Dec-97,75.69,128.55,10.04,75.57
17-Dec-97,78.25,131.7,10.35,75.71
18-Dec-97,77.88,132.5,10.35,74.98
19-Dec-97,78.31,139.5,10.42,75.27
22-Dec-97,79.63,141.63,10.71,76.6
23-Dec-97,80.81,140.8,10.71,78.07
24-Dec-97,81.19,139.85,10.57,76.6
26-Dec-97,81.56,138.93,10.57,77.48
29-Dec-97,81,139,10.76,80.87
30-Dec-97,80.06,136.25,10.54,79.25
31-Dec-97,80.31,138.35,10.57,79.1
1-Jan-98,80.81,139.43,10.64,79.4
2-Jan-98,82.56,140.25,10.95,83.37
5-Jan-98,84,142.58,11.58,83.67
6-Jan-98,83.38,141,11.48,83.08
7-Jan-98,83.13,138.95,11.34,81.75
8-Jan-98,81.06,138.33,11.22,78.95
9-Jan-98,80.13,138.93,11.07,76.3
12-Jan-98,80,134,10.98,72.91
13-Jan-98,81.94,131.93,10.95,73.8
14-Jan-98,82.88,132.5,10.81,73.06
15-Jan-98,83.25,132.05,10.78,73.8
16-Jan-98,85.75,132.1,10.66,74.68
19-Jan-98,86.63,136.05,11.07,76.74
20-Jan-98,85.31,135.93,10.9,76.01
21-Jan-98,85,134.93,10.71,76.01
22-Jan-98,83.75,134.22,10.64,74.53
23-Jan-98,83.06,133.4,10.42,73.65
27-Jan-98,81.81,131.63,10.22,72.47
28-Jan-98,82.25,129.7,10.29,71.94
29-Jan-98,81.88,129.47,10.31,72.83
2-Feb-98,84.56,135.97,10.32,74.68
3-Feb-98,84.38,136.4,10.18,73.97
4-Feb-98,82.81,139.33,10.18,73
5-Feb-98,84.31,141.8,10.13,73.44
6-Feb-98,86.94,142.3,10.05,72.91
9-Feb-98,86.5,141.15,10.12,72.24
10-Feb-98,85.63,139.33,10,71.41
11-Feb-98,85.38,137.8,10.07,70.76
12-Feb-98,84.06,138.3,9.92,71.12
13-Feb-98,83.13,150.13,9.84,72.06
16-Feb-98,83.81,156.43,9.95,73.36
17-Feb-98,82.44,154.03,9.9,72.59
18-Feb-98,82.56,152.7,9.96,71.65
19-Feb-98,83.81,153.03,10.11,72
20-Feb-98,83.44,152.63,10.22,71.12
23-Feb-98,85.13,154.7,10.62,72.35
24-Feb-98,85,153.78,10.62,72.35
26-Feb-98,85.38,153.13,10.69,74.36
27-Feb-98,89.19,152.53,10.8,77.95
2-Mar-98,90.69,158.65,11.46,81.31
3-Mar-98,87.44,153.13,10.77,77.83
4-Mar-98,89.5,156.58,11.18,80.13
5-Mar-98,88.06,155.4,11.01,78.89
6-Mar-98,87.56,155.05,10.93,78.89
9-Mar-98,89.75,161.9,11.1,81.25
10-Mar-98,88.5,161.23,11.03,83.08
11-Mar-98,87.5,159.25,11,80.84
12-Mar-98,87.75,157.8,10.82,79.66
16-Mar-98,89.25,157.9,11.13,82.02
17-Mar-98,89.44,158.1,11.05,85.79
18-Mar-98,94.13,158.85,11.48,86.55
19-Mar-98,98.25,158.53,11.48,85.85
20-Mar-98,103.44,158.6,11.48,88.32
23-Mar-98,105.56,161.7,11.68,91.92
24-Mar-98,106.94,161.63,11.68,90.68
25-Mar-98,111.31,160.08,12.26,90.5
26-Mar-98,105.88,158.55,11.87,88.38
27-Mar-98,104.25,158.73,11.83,89.21
30-Mar-98,101.94,158.55,11.69,88.09
31-Mar-98,102.06,158.55,11.56,87.91
1-Apr-98,106.38,160.23,11.77,89.56
2-Apr-98,112.5,159.35,12,89.91
3-Apr-98,111.13,158.75,11.97,91.92
6-Apr-98,110.88,162.18,12.11,98.87
7-Apr-98,111.44,166.75,12.11,97.75
8-Apr-98,113.81,165.9,11.98,96.39
10-Apr-98,113.81,161.73,12.05,96.04
13-Apr-98,111.94,160.8,11.9,95.33
15-Apr-98,114.06,160.63,12.25,96.92
16-Apr-98,111.31,161.23,12.27,95.51
17-Apr-98,111.19,161.48,12.25,96.28
20-Apr-98,118.94,163.13,12.11,96.04
21-Apr-98,122.75,166.8,12.08,96.22
22-Apr-98,128,163.78,11.72,95.16
23-Apr-98,121.19,161.13,10.81,91.21
24-Apr-98,121.5,159.3,10.55,89.03
27-Apr-98,122.69,160.38,10.77,91.39
29-Apr-98,115.56,157.23,10.62,89.15
30-Apr-98,116.06,157.7,10.62,89.03
4-May-98,123,165.73,10.84,91.8
5-May-98,121.44,164.13,11.17,93.92
6-May-98,117.44,162.9,11.09,91.92
8-May-98,117.13,161,10.96,91.86
12-May-98,112.38,158.48,10.99,90.21
13-May-98,104.19,156.5,10.66,85.85
14-May-98,114.44,158.7,10.81,89.68
15-May-98,111,158.78,10.66,88.91
18-May-98,116.63,160.1,10.81,89.97
19-May-98,119.56,162,10.49,91.62
20-May-98,119.88,164.35,10.42,90.97
21-May-98,117.38,164.43,10.23,89.38
22-May-98,117.31,165.9,10.18,88.68
25-May-98,117.88,166.15,10.28,88.09
26-May-98,115.5,163.4,10.06,86.14
27-May-98,114.06,161.53,10.12,84.43
28-May-98,112.31,160.13,9.82,80.43
29-May-98,113.69,159.3,9.65,88.44
1-Jun-98,113.75,157.18,9.94,88.85
2-Jun-98,110.81,156.75,9.78,91.33
3-Jun-98,111.94,159.08,9.78,95.27
4-Jun-98,109.38,157.5,9.61,92.8
5-Jun-98,101.38,154,9.17,87.08
8-Jun-98,96.44,153.88,8.72,86.5
9-Jun-98,96.88,158.58,8.6,85.26
10-Jun-98,93.25,154.53,8.53,79.9
11-Jun-98,93.69,154.7,8.39,79.84
12-Jun-98,93.06,154.08,8.31,81.07
15-Jun-98,89.06,148.53,8.21,75.48
16-Jun-98,86.94,151.28,8.31,73.95
17-Jun-98,95.63,163.2,9.06,79.19
18-Jun-98,96.88,155.63,8.64,74.83
19-Jun-98,87.5,151.08,8.3,72.35
22-Jun-98,87.25,145,8.48,72.06
23-Jun-98,85.75,141.97,8.49,71.18
24-Jun-98,93.25,146.75,8.75,74
25-Jun-98,97.13,148.28,9.02,74.24
26-Jun-98,94.75,145.9,8.78,72.53
29-Jun-98,102.5,150.35,9.06,75.06
30-Jun-98,100.31,150.95,8.84,74.18
1-Jul-98,97.94,159.55,8.7,72.71
2-Jul-98,96.63,152.53,8.72,72.41
3-Jul-98,93.38,151.72,8.35,70.23
6-Jul-98,100.81,153.25,8.54,73.06
7-Jul-98,108.88,152.28,8.59,72.35
8-Jul-98,117.56,155.78,8.67,73.24
9-Jul-98,115.25,160.8,8.73,73.77
10-Jul-98,124.44,160.65,8.95,77.13
13-Jul-98,118.94,157.4,8.86,75.01
14-Jul-98,122,160.28,8.87,75.24
15-Jul-98,121.88,163.03,8.94,74.83
16-Jul-98,125,170.4,8.96,76.24
17-Jul-98,127.06,170.7,8.82,75.42
20-Jul-98,126.56,168.18,8.83,74
21-Jul-98,127.44,168.43,8.69,72.83
22-Jul-98,124.88,167.98,8.68,72.41
23-Jul-98,121.63,164.83,8.44,66.64
24-Jul-98,121.13,164.48,8.4,61.69
27-Jul-98,117.81,162.9,8.42,59.51
28-Jul-98,122.75,165.53,8.49,62.57
29-Jul-98,128.31,171.55,8.67,62.22
30-Jul-98,127.5,172.48,8.56,61.63
31-Jul-98,133.25,170.9,8.49,60.39
3-Aug-98,130.5,166.55,8.48,58.51
4-Aug-98,130.63,166.43,8.48,58.18
5-Aug-98,133.94,166.05,8.47,60.98
6-Aug-98,134.81,164.58,8.44,59.22
7-Aug-98,142.81,163.03,8.31,59.04
10-Aug-98,140.38,161.95,8.43,58.33
11-Aug-98,139.06,162.28,8.32,56.86
12-Aug-98,133.88,161.95,8.29,55.09
13-Aug-98,133.81,162.05,8.38,56.65
14-Aug-98,132.81,162.58,8.31,55.68
17-Aug-98,122.25,160.18,8.38,55.27
18-Aug-98,121.81,157.98,8.26,54.3
19-Aug-98,121.25,158.13,8.36,54.91
20-Aug-98,122.88,160.75,8.41,56.39
21-Aug-98,121.31,159.78,8.42,56.03
24-Aug-98,121.75,161.35,8.41,55.68
25-Aug-98,129.13,162.25,8.46,56.09
27-Aug-98,118.81,161.1,8.67,55.06
28-Aug-98,109.31,160.43,8.58,53.35
31-Aug-98,103.5,161.9,8.97,53.06
1-Sep-98,100.31,161.33,8.73,51.14
2-Sep-98,105.81,161.3,8.75,51.61
3-Sep-98,102.56,162.03,8.92,51.38
4-Sep-98,101.31,162.9,8.89,51.82
7-Sep-98,103.75,163.1,9.21,54.44
8-Sep-98,107.38,166.55,9.13,55.47
9-Sep-98,109.19,166.7,8.97,55.06
10-Sep-98,108.13,168.93,9,55.06
11-Sep-98,105.31,167.75,8.81,53.74
14-Sep-98,108,169.2,8.98,55.53
15-Sep-98,108.25,167.95,9.06,55.68
16-Sep-98,104.31,169.05,9.04,55.83
17-Sep-98,102.94,167.43,9.03,55.41
18-Sep-98,103.19,164.08,9.04,57.21
21-Sep-98,103.63,163.8,8.96,56.8
22-Sep-98,109.81,165.68,9.11,56.74
23-Sep-98,115.44,166.68,9.12,56.62
24-Sep-98,116,170.85,9.17,57.39
25-Sep-98,125.25,168.48,9.22,57.15
28-Sep-98,127.13,168.55,9.28,56.95
29-Sep-98,128.63,166.73,9.17,54.94
30-Sep-98,123.44,168.08,9.07,54.27
5-Oct-98,113.63,156.18,8.59,50.08
6-Oct-98,119.5,165.6,8.59,51.05
7-Oct-98,124.19,170.15,8.74,52.26
8-Oct-98,128.19,168.55,8.59,49.91
9-Oct-98,127.75,170.18,8.48,50.11
12-Oct-98,123.38,168.53,8.49,49.35
13-Oct-98,114.25,167.8,8.4,48.61
14-Oct-98,119,167.5,8.25,48.37
15-Oct-98,118.31,168.2,8.16,46.55
16-Oct-98,117.13,170.8,8.11,44.78
19-Oct-98,117.31,170.73,8.09,44.48
20-Oct-98,115.06,165.15,7.93,42.66
23-Oct-98,111.75,158.65,7.97,43.01
26-Oct-98,115.94,159,8.58,46.43
27-Oct-98,116.25,161.5,8.29,47.4
28-Oct-98,113.94,160.18,8.11,45.99
29-Oct-98,113.56,161.65,8.2,47.46
30-Oct-98,111.13,160.3,7.96,47.73
2-Nov-98,109.63,161.8,7.91,47.99
3-Nov-98,108.88,164.48,8.2,49.49
5-Nov-98,107.94,164.93,8.49,51.14
6-Nov-98,110.88,163.6,8.73,51.08
9-Nov-98,113.38,164.95,8.96,52.67
10-Nov-98,113.06,164.35,9.25,52.79
11-Nov-98,111.31,163.3,8.63,52
12-Nov-98,112.38,162.73,8.67,52.44
13-Nov-98,111.81,161.98,8.63,54.21
16-Nov-98,111.69,160.45,8.45,53.65
17-Nov-98,111.5,159.83,8.61,54.62
18-Nov-98,113.94,160.7,8.85,55.92
19-Nov-98,112.75,160.15,8.7,56.83
20-Nov-98,109.25,159.75,8.64,55.44
23-Nov-98,109.25,160.9,8.54,54.21
24-Nov-98,108.44,159.53,8.69,54.5
25-Nov-98,106.63,161,8.64,53.15
26-Nov-98,105.38,158.53,8.63,50.97
27-Nov-98,102.94,156.7,8.42,49.67
30-Nov-98,103.5,159.4,8.42,50.55
1-Dec-98,102.94,158.83,8.76,53.32
2-Dec-98,105.19,158.58,8.91,53.91
3-Dec-98,106.31,157.98,9.11,53.32
4-Dec-98,106.06,159.18,9.26,55.53
7-Dec-98,114.5,163.43,9.24,56.86
8-Dec-98,116.5,163.43,9.26,57.74
9-Dec-98,113.56,168.78,9.77,56.8
10-Dec-98,113.25,174.05,9.65,57.09
11-Dec-98,114.56,174.33,9.61,60.75
14-Dec-98,113.13,172.5,9.56,59.22
15-Dec-98,110.88,168.88,9.72,58.74
16-Dec-98,112.19,168.85,9.79,59.42
17-Dec-98,111.44,165.95,9.41,56.56
18-Dec-98,112.63,165.55,9.79,57.15
21-Dec-98,120.56,169.18,9.88,61.72
22-Dec-98,118.75,166.95,9.88,64.11
23-Dec-98,116.56,166.33,9.97,63.52
24-Dec-98,117.81,165.2,9.96,66.7
28-Dec-98,122.88,167.03,10.06,69.17
29-Dec-98,121.25,164.55,9.97,72.3
30-Dec-98,122.44,168.38,10.31,71.29
31-Dec-98,121.38,166.35,10.13,69.17
1-Jan-99,122.25,165.25,10.09,72.77
4-Jan-99,127.06,167.23,10.15,71.29
5-Jan-99,128.69,167.18,9.9,72.18
6-Jan-99,128.88,175.45,10.02,73.41
7-Jan-99,135,176.53,10.33,74.24
8-Jan-99,142.69,178.68,10.3,76.48
11-Jan-99,139.94,175.23,10.44,78.42
12-Jan-99,133.81,171.58,10.26,74.71
13-Jan-99,137.13,170.45,9.55,73
14-Jan-99,133.63,171.45,9.46,73.77
15-Jan-99,128.25,167.85,8.92,71.06
18-Jan-99,132.63,172.6,9,70.17
19-Jan-99,127.81,171.38,8.79,66.52
21-Jan-99,133.75,175.6,8.35,65.81
22-Jan-99,129.81,174.53,8.8,65.46
25-Jan-99,135.13,179.2,8.53,64.28
27-Jan-99,136.69,181.9,8.75,69.29
28-Jan-99,133.69,184.03,8.58,66.76
29-Jan-99,134.75,193.93,8.26,68.05
1-Feb-99,133.81,190.4,8.15,66.64
2-Feb-99,131.19,189.4,7.99,66.29
3-Feb-99,141.63,191.85,8.02,68.7
4-Feb-99,140.88,188.63,8.11,69
5-Feb-99,145.5,187.15,8.3,69.76
8-Feb-99,144.63,187.23,8.18,67.29
9-Feb-99,145.06,188.25,8.2,67.7
10-Feb-99,154.56,203.3,8.15,69.59
11-Feb-99,153.5,202.3,8.08,68.82
12-Feb-99,154.88,202.6,7.81,69.23
15-Feb-99,153.75,198.4,7.59,71.12
16-Feb-99,158,196.35,7.57,74.65
17-Feb-99,161.25,196.18,7.6,73.95
18-Feb-99,157.75,192.95,7.54,73.36
19-Feb-99,153.5,192.6,7.4,74
22-Feb-99,148.75,192.13,7.43,73.36
23-Feb-99,146.69,188.65,7.32,72.83
24-Feb-99,147.75,187.9,7.37,73.12
25-Feb-99,145.94,187.5,7.35,73.41
26-Feb-99,142,182.98,7.29,73.65
27-Feb-99,153.31,194.85,7.52,72.83
1-Mar-99,165.56,205.18,7.35,69.47
3-Mar-99,178.75,214.08,7.14,70.17
4-Mar-99,173.25,213.65,6.98,69.29
5-Mar-99,180,213.35,6.86,69.23
8-Mar-99,184.5,209.93,6.8,65.81
9-Mar-99,185.5,212.93,6.63,67.58
10-Mar-99,200.31,213.95,6.84,68.58
11-Mar-99,196.25,215.45,6.67,67.29
12-Mar-99,193,214.9,6.51,66.87
15-Mar-99,196.94,224,6.56,66.11
16-Mar-99,190.75,223,6.48,65.76
17-Mar-99,187.5,218,6.56,64.64
19-Mar-99,198.75,218.4,6.44,64.99
22-Mar-99,207.94,218.8,6.51,64.81
23-Mar-99,224.56,224.8,6.52,63.63
24-Mar-99,215.38,222.2,6.46,63.16
26-Mar-99,211,222.5,6.51,59.33
30-Mar-99,215,224.53,7,59.69
31-Mar-99,215.5,226.4,6.91,61.1
1-Apr-99,212.5,222,6.73,59.39
5-Apr-99,196.25,217.48,6.61,55.92
6-Apr-99,196.75,220,7.14,57.15
7-Apr-99,192.75,223.23,7.33,56.56
8-Apr-99,188.75,219.9,7.06,55.5
9-Apr-99,183,218,6.76,53.44
12-Apr-99,184.75,222,6.85,53.44
13-Apr-99,183.25,224.13,6.76,53.03
15-Apr-99,171.75,216.9,6.76,51.35
16-Apr-99,185.44,227.5,6.85,55.09
17-Apr-99,172.5,210.4,6.66,51.2
19-Apr-99,178.75,222.5,6.77,51.85
20-Apr-99,185.63,216.95,6.67,51.26
21-Apr-99,192.38,217.98,6.73,51.5
22-Apr-99,198.69,218,6.62,49.38
23-Apr-99,205.63,219,6.42,48.31
26-Apr-99,194,210.6,6.03,44.54
28-Apr-99,205.81,207.2,5.91,45.96
29-Apr-99,219.13,205.2,6.02,47.31
3-May-99,213,201.69,6.18,54.74
4-May-99,218.13,204.09,6.26,57.15
5-May-99,215.5,205.8,6.27,56.27
6-May-99,216.13,204.21,6.23,58.77
7-May-99,217.5,202.65,6.31,58.39
10-May-99,225,209.21,6.79,62.51
11-May-99,234.5,217,6.9,64.52
12-May-99,230.5,227,6.76,62.99
13-May-99,244.75,232.7,7.09,67.32
14-May-99,232.5,228.5,7.66,70.73
17-May-99,213.91,224,8.27,71.82
18-May-99,216.25,221.3,8.92,72.77
19-May-99,221.5,220.7,9.63,74.24
20-May-99,219.5,222.59,8.86,72.47
21-May-99,214.63,225.48,8.16,67.29
24-May-99,217.03,229,7.51,64.81
25-May-99,217,233,8.1,67.52
26-May-99,215.5,231.55,7.45,65.11
27-May-99,210,228.48,7.3,63.16
28-May-99,204.25,224.1,6.8,59.8
31-May-99,210,229.58,7.34,64.58
1-Jun-99,203,230,7.14,63.34
2-Jun-99,201.75,228.7,7.18,63.75
3-Jun-99,202.5,227,7.43,64.81
4-Jun-99,202,227.65,8.02,69.97
7-Jun-99,205,227,8.59,71.59
8-Jun-99,202.88,224.6,8.49,72.77
9-Jun-99,205,224,8.29,71.88
10-Jun-99,211,225,8.11,70.53
11-Jun-99,205,221.5,7.72,70.14
14-Jun-99,202.25,221.7,7.53,73.89
15-Jun-99,201,222.1,7.52,74.89
16-Jun-99,205.5,231.5,7.68,78.07
17-Jun-99,207.5,240.7,7.76,80.16
18-Jun-99,202.5,240.9,8.05,85.99
21-Jun-99,207.25,240.6,7.87,88.56
22-Jun-99,212.5,241.5,7.82,86.91
23-Jun-99,212.5,235.11,7.62,82.49
24-Jun-99,208.25,229.85,7.62,84.26
25-Jun-99,207.5,229.08,7.39,82.19
28-Jun-99,210.5,235.1,7.55,82.37
29-Jun-99,209.75,239.9,7.52,81.78
30-Jun-99,208.28,238,7.41,82.49
1-Jul-99,207.5,240.07,7.35,84.79
2-Jul-99,211.75,242.4,7.35,87.5
5-Jul-99,221.5,245,7.92,94.48
6-Jul-99,214.25,241.7,7.81,92.21
7-Jul-99,207.22,242.64,7.81,90.15
8-Jul-99,209.95,242.5,7.73,90.74
9-Jul-99,208.5,237.1,7.76,96.81
12-Jul-99,216.22,240,8.38,101.87
13-Jul-99,215.5,244,8.61,96.63
14-Jul-99,217.25,250.5,8.59,101.05
15-Jul-99,220,247,8.39,93.09
16-Jul-99,223.5,239.4,8.16,93.68
19-Jul-99,235,244.8,8.23,88.5
20-Jul-99,236,251.8,8.3,88.09
21-Jul-99,239.13,257.8,8.31,87.5
22-Jul-99,235.16,272,8.59,86.02
23-Jul-99,232.5,275,8.22,85.43
26-Jul-99,233.5,270.5,8.19,83.76
27-Jul-99,234.75,271,8.24,86.5
28-Jul-99,234.25,271.32,8.14,82.43
29-Jul-99,230.55,272,7.97,81.72
30-Jul-99,225.71,273.1,7.62,80.78
2-Aug-99,216,271.3,7.53,78.95
3-Aug-99,221.25,270.9,7.34,78.36
4-Aug-99,237.5,276,7.62,81.55
5-Aug-99,253.5,274.1,7.43,78.51
6-Aug-99,265,271.9,7.24,78.36
9-Aug-99,262.07,272.2,7.38,83.61
10-Aug-99,267,270,7.34,81.31
11-Aug-99,281.26,268.12,7.38,83.37
12-Aug-99,299.25,263,7.24,83.55
13-Aug-99,301.63,258,7.42,81.22
16-Aug-99,287.63,255.35,7.66,80.87
17-Aug-99,291.77,260.51,8.03,81.87
18-Aug-99,290,261.16,8.67,85.49
19-Aug-99,287.63,259.7,8.53,83.52
20-Aug-99,288.75,257,8.96,85.67
23-Aug-99,296.25,257.82,9.67,92.51
24-Aug-99,295.5,260,9.61,95.8
25-Aug-99,297.5,263,8.85,90.3
26-Aug-99,311.88,270.4,9.11,91.89
27-Aug-99,304.13,270,8.85,99.16
30-Aug-99,308.5,269,8.94,100.81
31-Aug-99,309.98,266.5,8.81,99.07
1-Sep-99,309.27,267.35,8.55,94.98
2-Sep-99,302.63,265.28,8.15,92.21
3-Sep-99,297.5,261.6,8.28,92.15
6-Sep-99,295.5,269.61,8.45,98.34
7-Sep-99,293.91,264,8.32,95.16
8-Sep-99,295.75,262.5,8.2,90.91
9-Sep-99,288.75,262.5,8.32,90.5
10-Sep-99,287,262.17,8.09,90.62
14-Sep-99,281.27,254.05,8.73,87.32
15-Sep-99,287.25,255.02,8.49,85.99
16-Sep-99,282.98,250.2,8.16,83.4
17-Sep-99,292.25,248,7.97,83.67
20-Sep-99,311,248.95,7.95,82.02
21-Sep-99,311.25,247.99,7.84,81.37
22-Sep-99,329.98,250.11,7.86,80.84
23-Sep-99,344.35,251.4,7.81,81.78
24-Sep-99,345.25,254.9,7.67,83.81
27-Sep-99,346.65,259.2,7.72,80.96
28-Sep-99,360.88,257.55,7.78,81.9
29-Sep-99,387.5,257.2,7.77,84.73
30-Sep-99,368.25,256.08,7.62,85.26
1-Oct-99,355.25,249,7.35,82.55
4-Oct-99,347.25,252.3,7.37,83.31
5-Oct-99,348,253.1,7.38,84.08
6-Oct-99,340,251.2,7.53,81.84
7-Oct-99,358.75,261,7.77,86.61
8-Oct-99,358.75,248.58,7.73,93.39
11-Oct-99,368.75,252.75,7.9,92.21
12-Oct-99,385,254.5,7.79,93.98
13-Oct-99,387.75,254,7.53,89.97
14-Oct-99,385,250.8,7.53,90.8
15-Oct-99,375,249,7.29,83.67
18-Oct-99,374.75,244,7.42,86.55
20-Oct-99,355.27,237.98,7.57,90.74
21-Oct-99,326.86,235,7.58,86.91
22-Oct-99,300.73,229,7.4,93.83
25-Oct-99,276.68,231,7.52,98.93
26-Oct-99,286.75,228,7.9,100.31
27-Oct-99,281.25,243,7.71,92.92
28-Oct-99,275.95,236.5,7.38,89.88
29-Oct-99,266.25,230.11,7.01,86.91
1-Nov-99,244.96,230.3,6.71,80.4
2-Nov-99,264.55,233.5,7.02,86.82
3-Nov-99,246.56,233.25,6.9,81.9
4-Nov-99,246.3,234.52,6.9,83.49
5-Nov-99,263.75,239.63,6.79,83.67
7-Nov-99,272.39,241.57,6.91,84.79
9-Nov-99,283.5,235.6,6.93,83.96
11-Nov-99,292.25,237.5,6.76,83.14
12-Nov-99,315.5,233.8,6.76,83.23
15-Nov-99,297.69,229.87,6.81,81.9
16-Nov-99,315.25,228.5,6.98,83.67
17-Nov-99,307.88,232.3,6.76,81.66
18-Nov-99,311.75,235,6.78,83.02
19-Nov-99,308.75,228.8,6.68,82.87
22-Nov-99,308.44,229,6.61,82.49
24-Nov-99,300.01,233.9,6.72,89.06
25-Nov-99,296.25,233.8,6.76,90.3
26-Nov-99,295.25,231.2,6.64,87.11
29-Nov-99,301.25,228.9,6.7,85.26
30-Nov-99,282.5,228.49,6.85,84.02
1-Dec-99,280.88,229.95,6.81,84.08
2-Dec-99,283.74,235.31,7.07,85.08
3-Dec-99,278.75,242,7,83.23
6-Dec-99,288.75,249.45,7.05,85.05
7-Dec-99,311.84,248,7.26,87.38
8-Dec-99,311.75,248.53,7.19,85.14
9-Dec-99,310.69,251.48,7.37,85.17
10-Dec-99,306,249.8,7.43,84.26
13-Dec-99,330.48,250,7.24,83.81
